Subject,From,Body
Placement Coordinator Recruitment 2023-24,Placement and Internship Cell <placement@iitr.ac.in>,"Dear Students, 








We hope this email finds you in good health and high spirits. This is to inform you about an exciting opportunity that has arisen at Placement and Internship Cell. We are currently recruiting for the position of Placement Coordinator , and we are looking for enthusiastic and dedicated students to join our team. 







As a Coordinator, you will have the opportunity to work closely with the executive team and be responsible for a variety of tasks, including planning and interacting with organizations, managing communication with members, and developing new initiatives to enhance the overall campus Placement. This is an excellent opportunity to gain valuable experience in leadership, professional communication, and teamwork, which can be applied to your future academic and professional pursuits. 

To be considered for this position, you must be a 2nd-year undergraduate student at IIT Roorkee, have excellent organizational and communication skills, and be committed to contributing to the success of the Placement Cell. Previous experience in a leadership role or involvement in similar organizations is a plus, but not required. 







If you are interested in this opportunity, please fill up the below-mentioned form. We look forward to hearing from you and working with you to make a positive impact on our campus placements. 







Form Link: [ https://forms.gle/42yhQcK62KF9LZZU8 | https://forms.gle/42yhQcK62KF9LZZU8 ] 








Deadline: 12/04/23 , 11:45 PM IST. 







Best regards, 

Placement and Internship Cell, 

IIT Roorkee 






"
IITR Ticket #035665 opened for problem 'Lan not working',"""IITR Networking Support"" <network-support@iitr.ac.in>",
IITR Email Verification - Please verify,"""IITR Networking Support"" <network-support@iitr.ac.in>",
IITR Ticket #035664 opened for problem 'Lan is not working ',"""IITR Networking Support"" <network-support@iitr.ac.in>",
IITR Email Verification - Please verify,"""IITR Networking Support"" <network-support@iitr.ac.in>",
Chroma Ator Internship opportunity,Associate Dean Corporate Interaction <adci@iitr.ac.in>," =20
=C2=A0=20
  Dear Students,=20

=20
Chroma Ator, a manufacturer of Gas Engines, Generators, Compressors, CNG/LN=
G Dispensers, Dual Fuel Systems, Dewatering & Fire Fighting pump sets, Engi=
ne driven welding sets, Emergency Lighting Mast, and Mobile Refueling Unit =
is offering paid internships (Rs.10,000 per month) for a period of 2-6 mont=
hs.=C2=A0=20
Location: Daulapur, Rajasthan, or Noida=20
Interested students can apply through the Google form.=20
To know more about the company click here.=20
=C2=A0 =20
Regards=20
Sairam   =20
--  Sai Ramudu Meka
Associate Dean Corporate Interaction (ADCI)
Indian Institute of Technology Roorkee
Email:adci@iitr.ac.in
Phone No. +91 133228 5378 =20
"
"Closure of Sports Facilities during 8th April-9th April, 2023",Chairman Institute Sports Council <chairman.isc@iitr.ac.in>,"Dear Faculty/Staff/Students/Project Staff, 

All sports facilities will remain closed from 8th April @ 3:00 pm onwards (Saturday) and 9th April (Sunday) because of the Half-Marathon event. 

Inconvenience is regretted. 

With best regards, 

G.D. Ransinchung R.N. 
Chairman, ISC. 
"
Final updates pertaining to Half-Marathon 2023,Chairman Institute Sports Council <chairman.isc@iitr.ac.in>,"

Dear Faculty/Staff/Students , 




Institute Sports Council is pleased to inform you that we have received an overwhelming response from the IITR community, NIH, CBRI, and other educational institutions to participate in tomorrow 's half-marathon. A total of 600 participants have confirmed to take part in the event. The half-marathon is being organized as a part of India's G20 Presidency. 




The list of participants selected based on their physical fitness and attendance in the conditioning camp can be found in the link: 

[ https://channeli.in/api/django_filemanager/media_files/38185 | https://channeli.in/api/django_filemanager/media_files/38185 ] 







The list of participants selected from the IITR student teams/probables can be found in the link: 

[ https://channeli.in/api/django_filemanager/media_files/38186/ | https://channeli.in/api/django_filemanager/media_files/38186/ ] 




Please note that only those whose names appear in these lists are allowed to take part in the marathon. All the participants are requested to bring Aadhar card/Institute ID card. 




The details pertaining to the half-marathon can be found at the link given below: 

[ https://channeli.in/api/django_filemanager/media_files/38187/ | https://channeli.in/api/django_filemanager/media_files/38187/ ] 




Institute Sports Council has taken all the possible measures to ensure the safety of the participants during the event. Three ambulances (including one CCU ambulance to handle any cardiac emergency) with doctors and paramedics will be deployed along the marathon route. 




Prof. K K Pant, Director, IITR, will flag off the event at 5.30 am in the LBS stadium. The prize distribution ceremony will be held at 8.30 am in LBS stadium. 




The ISC cordially invites the campus community to cheer up the participants and be part of the prize distribution ceremony. 




I mportant Notes: No spot registration will be entertained. 



P. Vinod, G.D. Ransinchung R.N. 

Faculty Adviser, SSO. Chairman, 

Institute of Sports Council (ISC). 

"
"Invitation to participate in India's largest Climate Hackathon
 (BuzzOnEarth + IIT Kanpur)",Dean StudentWelfare <dosw@iitr.ac.in>,"Dear Students,=20
Following is the mail on the above subject.=20





Greetings from BuzzOnEarth and Chandrakanta Kesavan Center (CKC), IIT Kanpu=
r.=20



We are happy to share with you that BuzzOnEarth and CKC are organizing Indi=
a's largest Climate Hackathon =E2=80=93 BuzzOnEarth-Kesavan Center India Ha=
ckathon. The Hackathon is being organized at IIT Kanpur during the India-UK=
 Symposium on Sustainability.=20



We request you to forward this mail to your students and encourage them to =
participate in this prestigious Climate Hackathon.=20



About BuzzOnEarth-Kesavan Center India Hackathon:=20



This is a pan-India initiative to provide a national platform to innovative=
 young minds willing to contribute and make a change to the climate. We req=
uest you to come forward as the changemakers and innovators for the most ur=
gent climate and sustainability challenges.=20



About India-UK Symposium: This India-UK symposium will feature thought-prov=
oking discussions on the connections between energy generation and storage =
technologies, efficient system integration schemes, food and water producti=
on security, and the overall goal of decarbonization to achieve NetZero, as=
 well as their impact on socio-economic indicators.=20
The symposium will also have participation from Industry leaders, Entrepren=
eurs, Incubators, CXOs, Directors, Govt. Officials, Academic Institutions, =
Sustainability Professionals and Consultants, Think-tanks, Policy experts a=
nd key decision makers across India and UK.=20
Over 500+ delegates are expected to participate in this event, and it will =
be an excellent opportunity to network with the world leading experts in th=
e domain.=20





The students can [ https://4pdk7.r.ag.d.sendibm3.com/mk/cl/f/_65QCVyGC8YQ0U=
ezrzA5VB0b7hm6nfVgHtUCYuIdgZe3KSndTMBYi7e-Wth4eBbQDWqovX_Jys85GNqD7gHaJthf-=
hXB2XhhyVO4TatgNurfvS_XZvtDrYD2fe3tMX_lSmnQ0gbVjbmjCcA7xtNl4otMTUJ4yrYRU4Ua=
fq5rtK7b6wHOPAmf9ucFdzDBzhjDa0UauXM82q6zsV1eZuvrI1YxnA | APPLY=E2=80=AFHERE=
 ] | Deadline Submission for Climate Hackathon: 11th April 2023=20


To learn more about the Hackathon, please visit: [ https://4pdk7.r.ag.d.sen=
dibm3.com/mk/cl/f/7Tx_68th5Fr9FDAtZgVq9iKmlZMsFGRaDI6lT-ML5u6Kja6CONKXKJCwS=
yfcuoQ5MYhB30_K3u-u9gwnRwITUEZq8CyogNipHArLXmW0cE9anLHYUjCNfqVz_2G2t0bY02Qg=
KZ5tyUDZATcTBNKde0-1tMUska6UuYXAvIOPvEMdB4fpIu6sFiMW7Kf3suab_9tZaISh7E-lzRv=
2E7X0gDf57TacQLnW | https://buzzonearth-climatehackathon.in/=C2=A0 ]=20
Who Can Participate: All students enrolled in undergraduate, graduate, and =
postgraduate programs across India.=20
There is NO Registration Fee; however, participation is through prior regis=
tration only.=20



Key Offerings:=20

    * Opportunity to display your ideas at a national level - an exclusive =
sustainability-based hackathon in which you will be presenting your solutio=
n to world leaders focused on raising funds, connecting with domain-specifi=
c investors, B2B, B2G connections, Networking sessions, and much more.=20
    * Access to funding opportunity (s) - Prize money worth 1.5 lakhs and t=
he subsequent opportunity to raise funding from the leading investors.=20
    * No fee for registration. Free Travel and lodging.=20
    * Featuring your success stories through our Media platform - Access to=
 1 million+ viewers.=20
    * Internship Opportunity at IIT Kanpur - Most thought-provoking ideas w=
ill get an opportunity to do an internship at IIT Kanpur or BuzzOnEarth in =
Summer'23 .=20
    * Mentorship Opportunity at IIT Kanpur - You will be guided by professo=
rs and domain experts from the industry to further refine your solutions.=
=20
    * Access to the India India-UK Symposium - Join the 3-day-long policy t=
hink-tank symposium and engage with the challenges of policymaking in conte=
mporary society by fostering, creating, and scrutinizing potential policy s=
olutions to a diverse range of critical societal issues.=20



We look forward to your support in this initiative to spur climate innovati=
on in the youth of India.=20



Best wishes,=20
Ms. Gayatri Chauhan, BuzzOnEarth=20
& Prof. Rajeev Jindal, IIT Kanpur=20

Organizing team:=20
Sustainability Community, IIT Kanpur=20
Chandrakanta Kesavan Center for Energy Policy and Climate Solutions=20
Department of Sustainable Engineering=20
Indian Institute of Technology, Kanpur=20
BuzzOnEarth, Bangalore=20
Gaia The Earth Foundation, Bangalore=20




"
"Stall of Organic Products from local Farmers Producer Organization
 (Bhu Amrit)-Saturday (April 8, 2023)",Unnat Bharat Abhiyan IIT Roorkee <uba@iitr.ac.in>,"Dear All,

Warm Greetings from Unnat Bharat Abhiyan (UBA) IIT Roorkee!

With the support of IITR Administration, we have invited BhuAmrit (FPO) to
set up their stall in Hill View Apartment on Saturday (08.04.2023). They
have a wide range of organic and natural products.

Venue: Hill View Apartment

Date & Day: April 8, 2023 (Saturday)

Timings: 12:00 PM to 05:00 PM

Updated list of prices of products is also attached along with this mail.

For more information, please contact

Mr. Ramandeep Singh at +919797186232

Mr. Santosh Kumar Yadav at +91 8802606102

Thanks & Regards
Team UBA, IITR
"
TechShila Problem Statements,General Secretary Technical Affairs <gensec.technical@iitr.ac.in>,"The fourth problem statement for TechShila: Inter Bhawan Tech Meet, in the
domain of software development is out now. This problem statement has been
provided by Tournafest, an alum startup which aims to reinvent the gaming
experience by providing ace gaming platforms where gamers can play, compete
and grow together. Mentors will be provided to all the teams. Contact your
Bhawan Contingent Leaders to Participate.

Instagram: https://www.instagram.com/p/CquzWmqvnu5/?igshid=MDJmNzVkMjY=

Other problem statements can be found at
https://linktr.ee/techshila_stc
-- 
Thanks & Regards,
Aryan Bidani
General Secretary Technical Affairs
IIT ROORKEE
"

[Recruitments] BlocSoc Design Vertical,General Secretary Technical Affairs <gensec.technical@iitr.ac.in>,"Hola Designers,

Blockchain Society IIT Roorkee is conducting its recruitment drive for
design enthusiasts. You can check out the problem statement given in the
bio.
The deadline for submission of task is 9*th April, 2023*.

Eligibility: *1st and 2nd yearites* (Open for all branches)

Problem statement link:
https://www.notion.so/BlocSoc-Design-2023-cb6b71472a8540899811b24f4fb795a4?pvs=4
Get your creative heads to work!


[image: image.png]
-- 
Thanks & Regards,
Aryan Bidani
General Secretary Technical Affairs
IIT ROORKEE
"
NSUT debate tournament achievements | Cultural Council,General SecretaryCA <gensec.cult@iitr.ac.in>,"Greetings everyone! 

Cultural Council, IIT Roorkee is proud to congratulate the winners and participants of the NSMPD (Netaji Subhas Memorial Parliamentary Debate 2023) organised by NSUT, Delhi. This was an Asian Parliamentary Debate organised from the 1st-3rd April 2023. 

We are proud to share with you the achievements our contingent members have made in this event: 

- 4th Best Team in the Open Category: Manyana Tiwari, Aditya Sanwal and Kenneth Lobo 
- 7th Best Team in the Open Category: Pratham Jain, Angel Mittal and Zenith Gupta 
- Qualifying/Breaking Adjudicators: Harshit Singh and Sneha Sundarajan 
- 5th Best Speaker in the Tournament: Kenneth Lobo 

Heartiest congratulations to the Debating Society, IITR! 

Regards 
Varun Gupta 
General Secretary, Cultural Affairs 

"
Re: Invitation to Corporate Alumni Talk,Corporate Interaction Group <cig@iitr.ac.in>,"Dear All,

This is a gentle reminder to inform you that *Corporate Alumni Talk will
start from 3:00 PM today, in MAC Auditorium.*
A document having more details about each Alumni has been attached below.
For other details please refer to the previous mail.

PS: Goodies will be there for the interactive audience!
       Refreshments will be provided too!!!

See you there!!

Regards,
Aman Vishwakarma
Chairperson

"
Recruitment 2023 || Cinema Club,Cultural Council Cinema Club <cinemaclub@iitr.ac.in>,"Movies are the closest thing we have to magic=E2=80=9D - Steven Spielberg=
=20

Attention movie lovers! Cinema Club is currently recruiting new members who=
 share a passion for film. Whether you=E2=80=99re a cinephile or a casual m=
ovie-goer, join us for screenings and discussions on the latest releases, c=
lassic favorites, and everything in between. Cinema Club is super excited t=
o invite you to join our team. To be a part of the cinema club family, fill=
 out the following form:-=20

Link : https://docs.google.com/forms/d/e/1FAIpQLScWwyBGq0pWvoZ6A5yJbM6awWpS=
wXyy52YAeitMOfLpijlSew/viewform?usp=3Dsf_link=20

Eligibility : UG 1st-year and 2nd-year students.=20

Deadline : 11th April, 23:59=20

For any queries feel free to reach out to us at our social media handles, v=
ia email, or contact us at 8557060947 (Shivam)=20
Best of luck!=20
"
Guidelines for operating the Appetizer App,General SecretaryHA <gensec.hostel@iitr.ac.in>,"

Dear all 

For the past couple of months, there have been several queries and complaints about how to operate the Appetizer app. In response, we have created a few guidelines detailing how to operate the app . It includes the sign-up process, the coupon application process, and the rebate feature. 



This would help you in navigating through the application and help resolve any queries regarding the same. In addition, to experience all the new features, those who have already installed the application can go for an upgrade. 



Hostel Council and MDG are dedicated in providing you with the best of mess experiences. Don't forget to download the app from Playstore/Appstore to get the benefits. 




Link for guidelines book: [ https://drive.google.com/file/d/1-bbKii-aebXRhHyIbODvX2PidOqOU3z_/view?usp=sharing | https://drive.google.com/file/d/1-bbKii-aebXRhHyIbODvX2PidOqOU3z_/view?usp=sharing ] 




For any queries not dealt with in the guidelines contact: 

Aditya Sindhu - [ mailto:aditya_s1@ce.iitr.ac.in | aditya_s1@ce.iitr.ac.in ] 



Your support and Feedback are highly appreciated. 



Regards 
Shivansh Bhat 
General Secretary Hostel Affairs 
IIT Roorkee 
"
Finance Club | WorldQuant IQC 2023,General Secretary Technical Affairs <gensec.technical@iitr.ac.in>,"Greetings,


We are pleased to announce that our campus has achieved >300 registrations,
and teams participating in the IQC will be eligible for the
university-level awards.



We know that many students could not attend the offline session organized
by Finance Club in collaboration with WorldQuant BRAIN and/or the Training
Webinars due to other commitments. In order to help those students get
started with the 2023 International Quant Championship and do well, we are
sharing some resources:



*Resources to get started with the 2023 International Quant Championship in
under 1hr:*

=C2=B7         IQC playlist =E2=80=93 prizes, rules and scoring criteria
<https://platform.worldquantbrain.com/learn/courses/international-quant-cha=
mpionship-2023>
[~18
min]

=C2=B7         What are Alphas? Building and analyzing Alphas
<https://platform.worldquantbrain.com/learn/courses/introduction-alphas>
 [~37min]

=C2=B7         Introduction to BRAIN Research Consultant program
<https://platform.worldquantbrain.com/learn/courses/introduction-worldquant=
-brain>
 [~13min]



*Resources for those already participating in the 2023 International Quant
Championship*

=C2=B7        *1st Training Webinar =E2=80=93 Recording
<https://support.worldquantbrain.com/hc/en-us/community/posts/1362993278491=
9-IQC-Webinar-recording-Price-Volume-Alphas-available-till-8th-April-2023>
available
only till 8th April*

=C2=B7         A paper with 101 Alpha ideas:
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3D2701346

=C2=B7         Have you discovered the Example button
<https://platform.worldquantbrain.com/simulate/learn/courses> yet?



*A reminder of why you should participate in IQC 2023*

=C2=B7         University-level prizes (certificates and Amazon echo device=
s 4th
gen) for the Top 5 teams in your university at the end of Stage 1 (*
conditional on successfully becoming a Research Consultant with WorldQuant
BRAIN)

=C2=B7         Cash prizes from a pool of *US$100,000* for top-performing t=
eams
in Stage 2 (National round) and Stage 3 (Global Round)

=C2=B7         Potential travel opportunity to The Bahamas for the Global
finalists

=C2=B7         Potential Career opportunities: Research consultant, interns=
hip
and full-time roles



Register on the WorldQuant Brain platform: WorldQuant Brain
<https://platform.worldquantbrain.com/iqc?_gl=3D1*gt07i5*_ga*MTM5MzA1OTU4NC=
4xNjY4NTAzODIy*_ga_FXKNEPLB1N*MTY4MDc4MTY2Mi42LjAuMTY4MDc4MTY2Mi4wLjAuMA..>


Regards,

Finance Club, IIT Roorkee

--=20
Thanks & Regards,
Aryan Bidani
General Secretary Technical Affairs
IIT ROORKEE
"
"Enactus IIT-Roorkee || Recruitments for UG 1st and 2nd Year ||
 Deadline Extended",General Secretary Technical Affairs <gensec.technical@iitr.ac.in>,"*Greetings from Enactus, IIT-Roorkee!*

The recruitment hour for Enactus is here!

Round 1 of the recruitment has started. You can find the problem statement
in the link given below. The deadline for submission of the solutions has
been extended to *7th April 11:59PM. *


*Anyone who has submitted their response already can edit and resubmit
their form response before the deadline!*
Insta Post link:- https://tinyurl.com/Enactus225
<https://tinyurl.com/Enactus225>

Problem Statement:-  https://tinyurl.com/Enactus255

Form Link:- https://forms.gle/fhu52azQTCK8vVoh9

Whatsapp Link:- https://chat.whatsapp.com/GvxbGhXwASyFTdyfT8CAoY


Regards
Enactus IIT-Roorkee

[image: Enactus recruitment post 4.png]


-- 
Thanks & Regards,
Aryan Bidani
General Secretary Technical Affairs
IIT ROORKEE
"
Deadline extended for recruitment of Tech and Design,E-Cell IIT Roorkee <ecell@iitr.ac.in>,"Greetings from E-Cell IIT Roorkee

Hey there, fellow trailblazers!
Design and Tech Wizards, Unite! We know great work takes time and effort,
so we're giving you more of both. The deadline is now extended to 8th
April, 11:59 pm, giving you the runway to push boundaries and conjure up
solutions that will wow us all. Don't let this opportunity slip away -
let's showcase what you're truly capable of!""

Problem statement-
https://handy-dill-75c.notion.site/Problem-Statement-2023-6ff6ddfd93144b7d90b1f8125b1beec0

For queries contact - Priyanshu Gupta - 7727042145
"
Change in Anushruti Donation Account Number,Manager Anushruti Academy for the Deaf <manager.aad@iitr.ac.in>,"Dear Sir/Madam,=20

Greetings from Anushruti Academy for the Deaf, IITR=20

We would like to extend our sincerest gratitude to you for your generous co=
ntribution to Anushruti Academy. Your donation has made a significant impac=
t on the lives of many students and will continue to do so in the future.=
=20

We are writing to inform you that SBI IIT Roorkee Donation Account Number 1=
0660281064 has been changed. Kindly do not use it for donation.=20

We kindly request that you use this new account number for any further dona=
tions you make as follows.=20

Bank Account Name: IIT Roorkee Donation Account=20
Bank Account No.: 50100519629431=20
IFSC Code: HDFC0000657 , MICR: 247240667 , SWIFT CODE: HDFCINBB=20
Name of Bank: HDFC Bank ,=20
Type of account: Saving Bank Account=20
Branch: Purwa Wali Dehradun Road, Ganeshpur, Roorkee-247667=20
Branch Code: 0657=20

If you have any questions or queries about this change, please don't hesita=
te to reach out and you may call us on +91 =E2=80=93 89236 52584.=20

Thank you once again for your generosity and support!=20

Yours Sincerely,=20

(Prof. Navneet Arora)=20
Manager, AAD=20
"
Invitation to Corporate Alumni Talk,Corporate Interaction Group <cig@iitr.ac.in>,"Greetings from Corporate Interaction Group!

We are excited to announce an upcoming event hosted by CIG, the ""Corporate
Alumni Talk."" This event is aimed at providing IIT Roorkee students with
Corporate insights and experiences.

The event will feature various alumni who have made significant strides in
their respective careers. They will share their college experiences, how
they scaled their opportunities to become successful in their fields, early
corporate life and industry trends.

Our Keynote Speakers are

Abhyuday Mishra <https://www.linkedin.com/in/abhyuday-mishra-a2756717b/>:
Risk Management Analyst at American Express Kanhaiya Maddhesiya
<https://www.linkedin.com/in/kanhaiya-maddhesiya-%E0%A4%95%E0%A4%A8%E0%A5%8D%E0%A4%B9%E0%A5%88%E0%A4%AF%E0%A4%BE-%E0%A4%AE%E0%A4%A6%E0%A5%8D%E0%A4%A7%E0%A5%87%E0%A4%B6%E0%A4%BF%E0%A4%AF%E0%A4%BE-192645172/>:
Business Development , Flipkart

Leshna Balara <https://www.linkedin.com/in/leshnabalara/>: Software
Engineer, Even

Rahul Ahlawat <https://www.linkedin.com/in/rahul-ahlawat-0b760522a/>: Data
Analyst, Goldman Sachs

Annu Shree <https://www.linkedin.com/in/annu-shree/>: Quantitative Analyst,
Goldman Sachs

The event will be followed by CIG Intro Talk through which you will get to
know our vision , how we work and get insights of our culture and
interactions.We highly encourage you to attend the event and take advantage
of this unique opportunity to hear from your alumni.

Date: 7th April

Time: 3:00 PM - 5:00 PM

Venue: Mac Auditorium

We look forward to seeing you at the Corporate Alumni Talk.

PS: Goodies will be there for the interactive audience!

       Refreshments will be provided too!!!
Regards,
Aman Vishwakarma
Chairperson
-----------------------------------------------
Corporate Interactions Group
Indian Institute of Technology, Roorkee
104, New SAC Building
IIT Roorkee, Haridwar
Uttarakhand, India.
"
"Congratulations to Prof A K Sharma and Prof Pradeep Kumar ( both
 MIED) for Indian Patent",Associate Dean of Innovation and Incubation <adii@iitr.ac.in>,"Dear All 


Please join me in congratulating Prof A K Sharma and Prof Pradeep Kumar (both MIED) and their research group for getting grant of an Indian Patent. 

Please see the attached certificates of grant. 

As per latest Senate decision, granted patents can also be considered for Phd submission requirements. 

As per latest screening guidelines, patents will be considered at Associate Professor level. 

It is also recommended to use Xlscout and Derwent for doing literature review for Phd proposals. 

Further, Institute has launched a scheme of [ https://ipr.iitr.ac.in/trl-booster-scheme/ | TRL boosting ] to take patented technologies to the commercialization level. 

We hope to get more such Good News from other colleagues also. 

Rajat 

-- 
Rajat Agrawal 
Associate Dean Innovation and Incubation 
Indian Institute of Technology Roorkee 
Roorkee 247667, India 
ADII office 01332-285810 
IPR Cell 01332- 285873 
Mobile - 9719004491 

[ https://ipr.iitr.ac.in/ | IPR Cell  ] 
"
Enactus IIT-Roorkee || Recruitments for UG 1st and 2nd Year,General Secretary Technical Affairs <gensec.technical@iitr.ac.in>,"*Greetings from Enactus, IIT-Roorkee!*

The recruitment hour for Enactus is here!

Round 1 of the recruitment has started. You can find the problem statement
in the link given below. The deadline for submission of the solutions is *5th
April 11:59PM.*

Insta Post link:- https://tinyurl.com/Enactus225

Problem Statement:-  https://tinyurl.com/Enactus255

Form Link:- https://forms.gle/fhu52azQTCK8vVoh9

Whatsapp Link:- https://chat.whatsapp.com/GvxbGhXwASyFTdyfT8CAoY


Regards
Enactus IIT-Roorkee

[image: Enactus recruitment post 4.png]

-- 
Thanks & Regards,
Aryan Bidani
General Secretary Technical Affairs
IIT ROORKEE
"

Call for Mehta Rice Engineering Scholars Program,"""Dean, International Relations, IIT Roorkee"" <dean.ir@iitr.ac.in>","Dear Students and Colleagues,=20



We are happy to let you know that the Mehta Family Foundation and Rice Univ=
ersity George R Brown School of Engineering have signed an agreement to cre=
ate the Mehta Rice Engineering Scholars Program.=20



The Mehta Rice Engineering Scholars Program is designed for exceptional gra=
duate or undergraduate students interested in pursuing research and innovat=
ion careers. This program allows students to work alongside top researchers=
, inventors, and entrepreneurs and gain valuable experience that will set t=
hem up for a successful career in their chosen field.=20



A Mehta Rice Engineering Scholar, will have access to a wide range of resou=
rces, including:=20

    * Opportunities to participate in cutting-edge research projects.=20
    * Access to state-of-the-art equipment and facilities=20
    * Mentorship and guidance from leading researchers and entrepreneurs=20
    * Networking opportunities with other Mehta Rice Engineering Scholars a=
nd industry leaders=20




Outstanding students will be selected from the most prestigious institution=
s in India to come to the United States and spend three to six months at Ri=
ce University in [ https://engineering.rice.edu/about/rice-engineering-hous=
ton | Houston, Texas ] . The scholars will be placed in the appropriate lab=
s at Rice based on their research topic interest and the selection committe=
e's recommendation.=20



The foundation goal is to have 50 students participate in the Mehta Rice En=
gineering Scholars Program over the next three years in the areas of sustai=
nability, data science, artificial intelligence, biosciences, and bioengine=
ering. A team of Rice Faculty will select the students.=20



To learn more about the program and to Apply, please follow the weblinks be=
low-=20



[ https://mehtafamilyfoundation.org/mehta-rice-engineering-scholars-program=
/ | Mehta Family Foundation Rice Program ]=20


[ https://engineering.rice.edu/academics/mehta-rice-engineering-scholars-pr=
ogram | Rice University:=C2=A0=C2=A0 Engineering Mehta Program Details ]=20





Best regards,=20

Vimal=20





-=20
Prof. Vimal Chandra Srivastava=20
G B Pant Institute Chair Professor=20
Dean, [ https://ir.iitr.ac.in/ | International Relations ]=20
Professor, [ https://iitr.ac.in/Departments/Chemical%20Engineering%20Depart=
ment/Chemical%20Department.html | Department of Chemical Engineering ]=20
Joint Faculty, Centre of Nanotechnology=20
Indian Institute of Technology Roorkee=20
Roorkee - 247667, Uttarakhand, India.=20
Administrative email: dean.ir@iitr.ac.in=20
Personal emails: vimal.srivastava@ch.iitr.ac.in , vimalcsr@yahoo.co.in=20
Tel: +91-1332-28-4471, 5889 (O) / 286889 (R) / 9410372170 (M)=20
Webpages: [ https://www.iitr.ac.in/~CH/vimalfch | Personal ] , [ https://or=
cid.org/0000-0001-5321-7981 | ORCID ] , [ https://www.webofscience.com/wos/=
author/rid/B-4455-2008 | WebOfKnowledge ] , [ https://www.scopus.com/authid=
/detail.uri?authorId=3D35565811700 | Scopus ] , [ https://www.scopus.com/au=
thid/detail.uri?authorId=3D35565811700 | Scholar ] , [ https://www.linkedin=
.com/in/vimal-srivastava-b3102a9a/ | Linkedin ]=20




"
Invitation to FOS | Kshitij The Literary Society | Cultural Council,General SecretaryCA <gensec.cult@iitr.ac.in>,"Greetings everyone! 
Kshitij-The Literary Society invites you to Friends of Section.We invite all lone poets and performers to participate in Slam poetry event.You can perform both in Hindi and English. Do not miss the chance to express yourself in the most beautiful role, call it a kavi or a poet. 
We encourage all literary enthusiasts to come and watch your friends performing slams on stage. 
Hurry up! Fill the form link given below. Please ignore the previous email 

[ https://forms.gle/xb63BqFKgoYnqTuJ7 | https://forms.gle/xb63BqFKgoYnqTuJ7 ] 
Deadline of form - 11:59 pm, 05/04/2023 
Date of event - 08/04/2023 

Regards 
Kshitij 


"
Be careful while using social media platforms,Dean StudentWelfare <dosw@iitr.ac.in>,"Dear Students, 

Following is the link related to the usage of social media platforms. 

[ https://drive.google.com/file/d/1IXMeZur33pcqeK5ZOvxcI2xG4fG6ZoJh/view?usp=share_link | https://drive.google.com/file/d/1IXMeZur33pcqeK5ZOvxcI2xG4fG6ZoJh/view?usp=share_link ] 


[ https://www.iitr.ac.in/~DM/Mukesh_Kumar_Barua | https://www.iitr.ac.in/~DM/Mukesh_Kumar_Barua  ] 
"
[SUSPECTED SPAM] FOS 2023 | Kshitij - The Literary society | Cultural Council,General SecretaryCA <gensec.cult@iitr.ac.in>,"Greetings everyone! 

Kshitij-The Literary Society invites you to Friends of Section. We invite all lone poets and performers to participate in the Slam poetry event. You can perform both in Hindi and English. Do not miss the chance to express yourself in the most beautiful role, call it a kavi or a poet. 

We encourage all literary enthusiasts to come and watch your friends performing slams on stage. 
Hurry up! Fill the form link given below. 

[ https://forms.gle/xb63BqFKgoYnqTuJ7 | https://forms.gle/xb63BqFKgoYnqTuJ7 ] 

Deadline- 11:59 pm, 05/04/2023 

Regards 
Kshitij 
"


Recruitments for Tech and Design,E-Cell IIT Roorkee <ecell@iitr.ac.in>,"Greetings from E-Cell IIT Roorkee

Hey there, fellow trailblazers!
Are you a tech whiz or a design wizard? If so, we want YOU on our team! At
E-Cell, we know that tech and design are the backbone of our organization.
As a core member, you won't just be tackling the development or design
components, but also crafting innovative solutions for a plethora of
exciting new ideas each year. If you're a creative visionary who loves
brainstorming new designs and whipping up solutions for new ideas, then we
invite you to submit your entry via our notion link. We can't wait to check
out your inventive solutions to the E-Cell problem statement.

Problem statement-
https://handy-dill-75c.notion.site/Problem-Statement-2023-6ff6ddfd93144b7d90b1f8125b1beec0

For queries contact - Priyanshu Gupta - 7727042145
"
To follow COVID protocol,Dean StudentWelfare <dosw@iitr.ac.in>,"Dear Students, 
The COVID positivity rate in Delhi is 14.37 %. It is advised to follow COVID-appropriate behavior. 

[ https://www.iitr.ac.in/~DM/Mukesh_Kumar_Barua | https://www.iitr.ac.in/~DM/Mukesh_Kumar_Barua  ] 

"
"Rescheduling of classes on Apr 06, 2023",Assit RegistrarCurriculum <arcurriculum@iitr.ac.in>,"Respected Faculty Members & 
Dear Students 

In view of the 22nd Convocation, the classes scheduled on April 06, 2023 (Thursday) for all programmes have been rescheduled to be held on Apr 15, 2023 (Saturday) with Thursday time table. 

It has the approval of Chairman, Senate. 

Regards, 
Major Reeti (Retd.) 
Assistant Registrar (Curriculum) 
Academic Section 
IIT Roorkee 

"
